word,count
ā,3018237
ī,1801170
ē,1444009
š,980093
ū,335347
ņ,288514
ļ,221462
ž,129314
ģ,109471
ķ,85937
č,26098
á,1461
é,1218
ö,1132
ü,661
ó,627
è,472
í,438
ä,415
ć,213
ă,208
ş,179
ė,162
ł,158
à,152
ß,149
į,146
ń,144
ç,144
ő,144
ê,122
ø,110
ţ,96
ã,88
ę,75
ñ,74
ú,69
ň,68
α,62
â,52
ğ,51
ο,48
ι,48
σ,47
ρ,44
ś,42
ε,42
τ,41
ν,39
ý,37
_,36
η,35
ř,34
ï,32
ą,30
υ,28
ľ,24
ί,22
μ,21
δ,19
ς,19
π,19
κ,19
ò,16
ë,15
λ,14
а,13
ż,13
ή,12
ŗ,12
ǎ,12
đ,12
φ,11
о,10
å,10
ώ,10
έ,9
χ,9
ź,9
β,9
ω,8
ό,8
ų,8
е,8
с,8
н,8
æ,8
т,8
º,7
²,7
ύ,6
õ,6
ı,6
û,6
р,6
в,6
ψ,6
ξ,5
γ,5
ζ,5
¾,5
î,5
ě,5
ō,5
љ,4
ť,4
ά,4
з,4
ǐ,4
ô,4
и,4
й,3
у,3
ч,3
ш,3
к,3
л,3
ϊ,2
½,2
ĳ,2
œ,2
ď,2
я,2
ь,2
ð,2
м,2
п,2
ů,1
ћ,1
¹,1
µ,1
ġ,1
¼,1
ₒ,1
ĉ,1
ù,1
³,1
ŵ,1
ì,1
ж,1
г,1
д,1
ы,1
ș,1
